manuscript_section,claim_excerpt,claim_id,evidence_class,source_artifact,source_field,claim_value,source_sha256,verification_status
8. Robustness results,Pre-test robustness freeze value: 0.17,v_0p17,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,0.17,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 0.19,v_0p19,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,0.19,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.232078,v_0p232078,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.232078,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.235641,v_0p235641,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.235641,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
7. Development-validation results,Hypothesis-ledger evidence value: 0.24,v_0p24,C2,artifacts/phase10_hypothesis_ledger.json,Hypothesis-ledger evidence value,0.24,cb7d7f26add40cd73ba3790937f017b7c80b7bed5c5ae5b5545ab0fcf8743609,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.266948,v_0p266948,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.266948,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
8. Robustness results,Multi-seed robustness table value: 0.29,v_0p29,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,0.29,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.297138,v_0p297138,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.297138,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
9. Locked final-test results,"Locked final-test metric, full precision: 0.3",v_0p3,C1,artifacts/phase8_final_test_metrics.json,"Locked final-test metric, full precision",0.3,eaff81fd1c237671a4a47f36f27da9ad53c01d5be346e7d990fa5014477f7f38,VERIFIED
8. Robustness results,Multi-seed robustness table value: 0.34,v_0p34,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,0.34,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 0.3413,v_0p3413,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,0.3413,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.356216,v_0p356216,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.356216,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
7. Development-validation results,Hypothesis-ledger evidence value: 0.36,v_0p36,C2,artifacts/phase10_hypothesis_ledger.json,Hypothesis-ledger evidence value,0.36,cb7d7f26add40cd73ba3790937f017b7c80b7bed5c5ae5b5545ab0fcf8743609,VERIFIED
9. Locked final-test results,Locked final-test table value: 0.4,v_0p4,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,0.4,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
8. Robustness results,Multi-seed robustness table value: 0.42,v_0p42,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,0.42,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.427467,v_0p427467,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.427467,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
9. Locked final-test results,Locked final-test table value: 0.54,v_0p54,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,0.54,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
8. Robustness results,Multi-seed robustness table value: 0.55,v_0p55,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,0.55,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 0.667901,v_0p667901,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,0.667901,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 0.780487,v_0p780487,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,0.780487,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
8. Robustness results,Multi-seed robustness table value: 0.8,v_0p8,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,0.8,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 0.872808,v_0p872808,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,0.872808,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
7. Development-validation results,Hypothesis-ledger evidence value: 0.93,v_0p93,C2,artifacts/phase10_hypothesis_ledger.json,Hypothesis-ledger evidence value,0.93,cb7d7f26add40cd73ba3790937f017b7c80b7bed5c5ae5b5545ab0fcf8743609,VERIFIED
8. Robustness results,Attention-distance diagnostic: 0.938086,v_0p938086,C2,artifacts/phase7_spatial_analysis.json,Attention-distance diagnostic,0.938086,a98f9546d4868fb8bc255d0f40cafa67b5fe82e7feec5f396941382b112b327c,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.949952,v_0p949952,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.949952,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.95,v_0p95,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.95,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.952522,v_0p952522,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.952522,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.96,v_0p96,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.96,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.962625,v_0p962625,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.962625,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.971949,v_0p971949,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.971949,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 1",v_1,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",1,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
8. Robustness results,Multi-seed robustness table value: 1.05,v_1p05,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,1.05,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
15. Reproducibility statement,Reproduction-chain constant: 1.17,v_1p17,C5,artifacts/phase10_reproducibility_ledger.json,Reproduction-chain constant,1.17,e803161e70d992d605c213aaaf6cab9ffebf89b7d9d80042f68b645598a9467c,VERIFIED
8. Robustness results,Multi-seed robustness table value: 1.36,v_1p36,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,1.36,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
8. Robustness results,Multi-seed robustness table value: 1.4,v_1p4,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,1.4,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 1.54,v_1p54,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,1.54,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 1.99,v_1p99,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,1.99,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
8. Robustness results,Multi-seed robustness table value: 10.43,v_10p43,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,10.43,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 10.82,v_10p82,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,10.82,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
14. Conclusion,Canonical locked-result value: 100,v_100,C1,artifacts/phase10_canonical_conclusion.json,Canonical locked-result value,100,ca0a070272d763779a6cd6bc12e4a9516d52d0521042b95146b05b0b97ea01b3,VERIFIED
7. Development-validation results,Development-validation table value: 101.27,v_101p27,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,101.27,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 1024,v_1024,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,1024,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
9. Locked final-test results,Locked final-test table value: 106.59,v_106p59,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,106.59,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Locked final-test table value: 106.594564,v_106p594564,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,106.594564,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 109.33,v_109p33,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,109.33,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
9. Locked final-test results,Secondary confirmatory model GRU_R1 seed 42 achieved a severe MAE of 109.3328897571946.,v_109p3328897571946,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,109.3328897571946,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
14. Conclusion,"B3_R2 improved on the reference benchmark by 11.487157424383705%, computed from the frozen full-precision values.",v_11p487157424383705,C1,artifacts/phase10_canonical_conclusion.json,Canonical locked-result value,11.487157424383705,ca0a070272d763779a6cd6bc12e4a9516d52d0521042b95146b05b0b97ea01b3,VERIFIED
14. Conclusion,Canonical locked-result value: 11.49,v_11p49,C1,artifacts/phase10_canonical_conclusion.json,Canonical locked-result value,11.49,ca0a070272d763779a6cd6bc12e4a9516d52d0521042b95146b05b0b97ea01b3,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 11.54,v_11p54,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,11.54,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 1101,v_1101,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,1101,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
8. Robustness results,Multi-seed robustness table value: 115.79,v_115p79,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,115.79,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 118.96,v_118p96,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,118.96,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 12",v_12,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",12,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 12.3,v_12p3,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,12.3,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
7. Development-validation results,Development-validation table value: 121.27,v_121p27,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,121.27,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Multi-seed robustness table value: 123.1,v_123p1,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,123.1,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
3. Data and protocol,Information-regime or causality-enforcement constant: 1233036,v_1233036,C5,artifacts/phase10_information_regime_ledger.json,Information-regime or causality-enforcement constant,1233036,6da508c559ba01446237af1d5fdc7c4cb094b4d446693c9ea33616345177bdb0,VERIFIED
9. Locked final-test results,Locked final-test table value: 127.65,v_127p65,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,127.65,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Locked final-test table value: 127.650421,v_127p650421,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,127.650421,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Locked final-test table value: 128,v_128,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,128,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
8. Robustness results,Multi-seed robustness table value: 13.97,v_13p97,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,13.97,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
9. Locked final-test results,Locked final-test table value: 131.9,v_131p9,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,131.9,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,B3_R2 recorded a severe MAE of 131.90112073760537 on the locked final test.,v_131p90112073760537,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,131.90112073760537,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Locked final-test table value: 132,v_132,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,132,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Locked final-test table value: 1358,v_1358,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,1358,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
7. Development-validation results,Development-validation table value: 136.61,v_136p61,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,136.61,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Multi-seed robustness table value: 136.82,v_136p82,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,136.82,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
8. Robustness results,Multi-seed robustness table value: 137.76,v_137p76,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,137.76,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 138.32,v_138p32,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,138.32,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 14.424702,v_14p424702,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,14.424702,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
8. Robustness results,Multi-seed robustness table value: 14.8,v_14p8,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,14.8,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 140.99,v_140p99,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,140.99,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 142.528324,v_142p528324,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,142.528324,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
7. Development-validation results,Development-validation table value: 142.7,v_142p7,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,142.7,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
4. Models,Frozen station-attention contract value: 144001,v_144001,C5,artifacts/phase6_architecture_selection_freeze.json,Frozen station-attention contract value,144001,ca3bea4268a2e202ab666e4797ae76bb1562bde59d7c693f8fcecfa6318e4fb1,VERIFIED
7. Development-validation results,Development-validation table value: 145.13,v_145p13,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,145.13,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 145.14,v_145p14,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,145.14,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 152.53,v_152p53,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,152.53,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 152.59,v_152p59,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,152.59,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 152.630723,v_152p630723,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,152.630723,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
8. Robustness results,Multi-seed robustness table value: 154.44,v_154p44,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,154.44,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 16,v_16,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,16,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 168,v_168,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,168,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
8. Robustness results,Attention-distance diagnostic: 17,v_17,C2,artifacts/phase7_spatial_analysis.json,Attention-distance diagnostic,17,a98f9546d4868fb8bc255d0f40cafa67b5fe82e7feec5f396941382b112b327c,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 17.930293,v_17p930293,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,17.930293,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
7. Development-validation results,Development-validation table value: 176.94,v_176p94,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,176.94,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 183.21,v_183p21,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,183.21,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 19.1552,v_19p1552,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,19.1552,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 19.4539,v_19p4539,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,19.4539,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2",v_2,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
15. Reproducibility statement,Reproduction-chain constant: 2.14,v_2p14,C5,artifacts/phase10_reproducibility_ledger.json,Reproduction-chain constant,2.14,e803161e70d992d605c213aaaf6cab9ffebf89b7d9d80042f68b645598a9467c,VERIFIED
7. Development-validation results,Hypothesis-ledger evidence value: 2.19,v_2p19,C2,artifacts/phase10_hypothesis_ledger.json,Hypothesis-ledger evidence value,2.19,cb7d7f26add40cd73ba3790937f017b7c80b7bed5c5ae5b5545ab0fcf8743609,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 2.4,v_2p4,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,2.4,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2.5",v_2p5,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2.5,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 20.736625,v_20p736625,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,20.736625,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
4. Models,Frozen gradient-boosting contract value: 200,v_200,C5,artifacts/phase3_prevalidation_freeze.json,Frozen gradient-boosting contract value,200,4cef2f6ea52422e1f91d20a98748f90f4e1d77a29d8f225458a1032c334a3369,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2013-03-01",v_2013_03_01,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2013-03-01,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
4. Models,Training-only internal selection split: 2014-02-28,v_2014_02_28,C5,artifacts/phase4_internal_split.json,Training-only internal selection split,2014-02-28,886392331a5520a8df0a6aa863b49e0eda6862912347fe4c4a6947329dd431ed,VERIFIED
4. Models,Training-only internal selection split: 2014-03-01,v_2014_03_01,C5,artifacts/phase4_internal_split.json,Training-only internal selection split,2014-03-01,886392331a5520a8df0a6aa863b49e0eda6862912347fe4c4a6947329dd431ed,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2015-02-28",v_2015_02_28,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2015-02-28,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2015-03-01",v_2015_03_01,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2015-03-01,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2016-02-29",v_2016_02_29,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2016-02-29,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2016-03-01",v_2016_03_01,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2016-03-01,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
