station,variable,missing,present,missing_rate
Wanshouxigong,month,0,35064,0.0
Wanshouxigong,day,0,35064,0.0
Wanshouxigong,hour,0,35064,0.0
Wanshouxigong,PM2.5,696,34368,0.01984942
Wanshouxigong,PM10,484,34580,0.01380333
Wanshouxigong,SO2,669,34395,0.0190794
Wanshouxigong,NO2,754,34310,0.02150354
Wanshouxigong,CO,1297,33767,0.0369895
Wanshouxigong,O3,1078,33986,0.03074378
Wanshouxigong,TEMP,19,35045,0.00054187
Wanshouxigong,PRES,19,35045,0.00054187
Wanshouxigong,DEWP,19,35045,0.00054187
Wanshouxigong,RAIN,19,35045,0.00054187
Wanshouxigong,wd,79,34985,0.00225302
Wanshouxigong,WSPM,13,35051,0.00037075
Wanshouxigong,station,0,35064,0.0
