scope,station,variable,n_observed,median,p25,p75,iqr,mean,std
station_training,Dongsi,DEWP,17518,2.5,-9.3,15.4,24.7,2.334365,14.013072
station_training,Dongsi,RAIN,17518,0.0,0.0,0.0,0.0,0.051924,0.600401
station_training,Dongsi,WSPM,17518,1.5,1.0,2.3,1.3,1.826647,1.331531
station_training,Guanyuan,PM2.5,17198,65.0,26.0,122.0,96.0,86.23305,78.061453
station_training,Guanyuan,PM10,17305,95.0,45.0,154.0,109.0,111.979798,87.393879
station_training,Guanyuan,SO2,17201,12.0,5.0,31.0,26.0,23.514032,28.598734
station_training,Guanyuan,NO2,17038,56.0,35.0,82.0,47.0,62.047019,35.281145
station_training,Guanyuan,CO,16046,1000.0,600.0,1700.0,1100.0,1318.776455,1084.349959
station_training,Guanyuan,O3,16515,38.9844,7.0,79.0,72.0,53.958095,56.500537
station_training,Guanyuan,TEMP,17518,14.3,3.2,22.8,19.6,13.454356,11.195151
station_training,Guanyuan,PRES,17518,1010.6,1002.3,1018.8,16.5,1010.738361,10.169286
station_training,Guanyuan,DEWP,17518,4.0,-8.0,16.6,24.6,3.685729,13.74984
station_training,Guanyuan,RAIN,17518,0.0,0.0,0.0,0.0,0.058728,0.883547
station_training,Guanyuan,WSPM,17518,1.3,0.8,2.0,1.2,1.521949,1.151718
station_training,Gucheng,PM2.5,17200,65.0,27.0,122.0,95.0,86.702029,78.260179
station_training,Gucheng,PM10,17357,108.0,50.0,174.0,124.0,123.673331,93.92666
station_training,Gucheng,SO2,17220,10.0,3.0,26.0,23.0,19.957273,25.063823
station_training,Gucheng,NO2,17191,58.0,31.0,86.0,55.0,61.605072,37.412263
station_training,Gucheng,CO,16361,1000.0,600.0,1800.0,1200.0,1410.418128,1154.048136
station_training,Gucheng,O3,17002,42.0,10.0,81.6102,71.6102,55.328806,54.629591
station_training,Gucheng,TEMP,17486,14.8,3.9,23.3,19.4,13.992583,11.084741
station_training,Gucheng,PRES,17487,1008.3,1000.2,1016.15,15.95,1008.446686,9.891872
station_training,Gucheng,DEWP,17486,2.4,-9.0,15.7,24.7,2.718472,13.785957
station_training,Gucheng,RAIN,17494,0.0,0.0,0.0,0.0,0.048319,0.717064
station_training,Gucheng,WSPM,17489,0.9,0.5,1.5,1.0,1.099851,0.934978
station_training,Huairou,PM2.5,16882,52.0,19.0,106.0,87.0,73.94673,71.243531
station_training,Huairou,PM10,16953,78.0,33.0,142.0,109.0,97.840406,82.993487
station_training,Huairou,SO2,16851,7.0,3.0,23.0,20.0,17.44017,24.110868
station_training,Huairou,NO2,16400,31.0,16.0,52.0,36.0,37.428963,27.374456
station_training,Huairou,CO,16446,900.0,500.0,1400.0,900.0,1063.971786,798.352659
station_training,Huairou,O3,16773,52.0,20.0,86.0,66.0,61.872431,54.187368
station_training,Huairou,TEMP,17487,13.5,2.2,22.1,19.9,12.455618,11.639409
station_training,Huairou,PRES,17485,1007.1,999.2,1014.7,15.5,1007.162974,9.71511
station_training,Huairou,DEWP,17485,2.1,-10.3,15.5,25.8,2.074332,14.191636
station_training,Huairou,RAIN,17484,0.0,0.0,0.0,0.0,0.057189,0.793473
station_training,Huairou,WSPM,17483,1.2,0.8,1.8,1.0,1.542807,1.186738
station_training,Nongzhanguan,PM2.5,17281,65.0,26.0,124.0,98.0,88.955778,84.908473
station_training,Nongzhanguan,PM10,17328,96.0,45.0,160.0,115.0,116.504311,94.671498
station_training,Nongzhanguan,SO2,17322,13.0,5.0,33.0,28.0,25.077652,29.504287
station_training,Nongzhanguan,NO2,17145,56.0,32.0,84.0,52.0,61.57425,36.736047
station_training,Nongzhanguan,CO,16708,1000.0,600.0,1800.0,1200.0,1359.25,1153.533462
station_training,Nongzhanguan,O3,17274,41.0,7.12215,82.0,74.87785,56.022812,58.249839
station_training,Nongzhanguan,TEMP,17518,14.4,3.025,23.2,20.175,13.62816,11.316984
station_training,Nongzhanguan,PRES,17518,1012.0,1003.8,1020.0,16.2,1012.139679,9.991667
station_training,Nongzhanguan,DEWP,17518,2.5,-9.3,15.4,24.7,2.334365,14.013072
station_training,Nongzhanguan,RAIN,17518,0.0,0.0,0.0,0.0,0.051924,0.600401
station_training,Nongzhanguan,WSPM,17518,1.5,1.0,2.3,1.3,1.826647,1.331531
station_training,Shunyi,PM2.5,17049,60.0,21.0,119.0,98.0,82.429081,78.199964
station_training,Shunyi,PM10,17340,87.0,35.0,149.0,114.0,104.20519,87.609489
station_training,Shunyi,SO2,16858,7.0,2.856,22.0,19.144,17.284512,23.694264
station_training,Shunyi,NO2,16788,38.0,20.1194,62.257225,42.137825,44.413416,30.243775
station_training,Shunyi,CO,16078,1000.0,500.0,1600.0,1100.0,1225.431397,1020.239651
station_training,Shunyi,O3,17166,43.0,12.0,77.0,65.0,55.669914,55.346608
station_training,Shunyi,TEMP,17488,14.3,3.0,23.1,20.1,13.436608,11.369063
station_training,Shunyi,PRES,17488,1012.4,1004.5,1020.0,15.5,1012.457439,9.758304
station_training,Shunyi,DEWP,17485,2.6,-9.2,15.4,24.6,2.45499,13.797081
station_training,Shunyi,RAIN,17488,0.0,0.0,0.0,0.0,0.053237,0.749504
station_training,Shunyi,WSPM,17488,1.5,1.0,2.2,1.2,1.769419,1.297406
station_training,Tiantan,PM2.5,17134,65.0,26.0,122.0,96.0,86.203058,78.074112
station_training,Tiantan,PM10,17151,95.0,47.0,155.0,108.0,112.168025,86.128967
station_training,Tiantan,SO2,16630,10.0,4.0,25.0,21.0,19.535422,25.021361
station_training,Tiantan,NO2,17016,50.0,30.0,74.0,44.0,55.106711,31.657992
station_training,Tiantan,CO,16648,1000.0,600.0,1800.0,1200.0,1345.61617,1087.271951
station_training,Tiantan,O3,16922,37.0,8.0,77.0,69.0,54.031888,58.466689
station_training,Tiantan,TEMP,17518,14.4,3.025,23.2,20.175,13.62816,11.316984
station_training,Tiantan,PRES,17518,1012.0,1003.8,1020.0,16.2,1012.139679,9.991667
station_training,Tiantan,DEWP,17518,2.5,-9.3,15.4,24.7,2.334365,14.013072
station_training,Tiantan,RAIN,17518,0.0,0.0,0.0,0.0,0.051924,0.600401
station_training,Tiantan,WSPM,17518,1.5,1.0,2.3,1.3,1.826647,1.331531
station_training,Wanliu,PM2.5,17399,68.0,29.0,128.0,99.0,90.872177,81.83795
station_training,Wanliu,PM10,17428,105.0,49.0,169.0,120.0,122.400585,94.341406
station_training,Wanliu,SO2,17202,15.0,8.0,32.0,24.0,25.236469,26.830782
station_training,Wanliu,NO2,17244,68.0,44.0,95.0,51.0,72.448056,37.787859
station_training,Wanliu,CO,15941,1000.0,600.0,1800.0,1200.0,1383.38517,1240.684304
station_training,Wanliu,O3,15923,26.0,2.0,64.0,62.0,42.860591,50.595647
station_training,Wanliu,TEMP,17518,14.3,3.2,22.8,19.6,13.460806,11.186942
station_training,Wanliu,PRES,17518,1010.6,1002.3,1018.8,16.5,1010.722691,10.152009
station_training,Wanliu,DEWP,17518,4.0,-8.0,16.6,24.6,3.690427,13.744197
station_training,Wanliu,RAIN,17518,0.0,0.0,0.0,0.0,0.058705,0.883528
station_training,Wanliu,WSPM,17518,1.3,0.8,2.0,1.2,1.520094,1.14949
station_training,Wanshouxigong,PM2.5,17263,67.0,25.0,125.0,100.0,88.115884,81.809102
station_training,Wanshouxigong,PM10,17341,101.0,45.0,167.0,122.0,120.196944,98.590164
station_training,Wanshouxigong,SO2,17136,11.0,4.0,30.0,26.0,23.04518,29.047127
station_training,Wanshouxigong,NO2,17083,54.0,30.08955,82.0,51.91045,59.791793,37.104111
station_training,Wanshouxigong,CO,16590,1100.0,600.0,1900.0,1300.0,1459.025256,1177.046578
station_training,Wanshouxigong,O3,16728,39.0,7.0,79.0,72.0,54.002421,57.084616
station_training,Wanshouxigong,TEMP,17519,14.7,3.7,23.3,19.6,13.854181,11.167832
station_training,Wanshouxigong,PRES,17519,1009.7,1001.4,1018.0,16.6,1010.068058,10.426215
station_training,Wanshouxigong,DEWP,17519,3.0,-8.7,15.8,24.5,2.85429,13.801566
station_training,Wanshouxigong,RAIN,17519,0.0,0.0,0.0,0.0,0.052526,0.628009
station_training,Wanshouxigong,WSPM,17519,1.3,0.8,2.1,1.3,1.595622,1.167153
