variable,station,hours,missing,missing_pct,n_runs,longest_run_h,median_run_h,p90_run_h,isolated_1h_gaps,runs_le_3h,runs_le_6h,runs_le_12h,runs_le_24h,runs_gt_24h,missing_hours_in_runs_gt_24h
RAIN,Gucheng,17520,26,0.148402,26,1,1.0,1.0,26,26,26,26,26,0,0
RAIN,Huairou,17520,36,0.205479,30,3,1.0,2.0,25,30,30,30,30,0,0
RAIN,Nongzhanguan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
RAIN,Shunyi,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
RAIN,Tiantan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
RAIN,Wanliu,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
RAIN,Wanshouxigong,17520,1,0.005708,1,1,1.0,1.0,1,1,1,1,1,0,0
RAIN,POOLED,210240,171,0.081336,159,3,1.0,1.0,148,159,159,159,159,0,0
WSPM,Aotizhongxin,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
WSPM,Changping,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
WSPM,Dingling,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
WSPM,Dongsi,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
WSPM,Guanyuan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
WSPM,Gucheng,17520,31,0.176941,29,2,1.0,1.0,27,29,29,29,29,0,0
WSPM,Huairou,17520,37,0.211187,31,3,1.0,2.0,26,31,31,31,31,0,0
WSPM,Nongzhanguan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
WSPM,Shunyi,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
WSPM,Tiantan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
WSPM,Wanliu,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
WSPM,Wanshouxigong,17520,1,0.005708,1,1,1.0,1.0,1,1,1,1,1,0,0
WSPM,POOLED,210240,177,0.084189,163,3,1.0,1.0,150,163,163,163,163,0,0
wd,Aotizhongxin,17520,5,0.028539,5,1,1.0,1.0,5,5,5,5,5,0,0
wd,Changping,17520,37,0.211187,34,2,1.0,1.0,31,34,34,34,34,0,0
wd,Dingling,17520,37,0.211187,34,2,1.0,1.0,31,34,34,34,34,0,0
wd,Dongsi,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
wd,Guanyuan,17520,5,0.028539,5,1,1.0,1.0,5,5,5,5,5,0,0
wd,Gucheng,17520,64,0.365297,49,7,1.0,2.0,41,47,48,49,49,0,0
wd,Huairou,17520,52,0.296804,34,13,1.0,2.0,28,33,33,33,34,0,0
wd,Nongzhanguan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
wd,Shunyi,17520,42,0.239726,39,2,1.0,1.0,36,39,39,39,39,0,0
wd,Tiantan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
wd,Wanliu,17520,6,0.034247,6,1,1.0,1.0,6,6,6,6,6,0,0
wd,Wanshouxigong,17520,3,0.017123,3,1,1.0,1.0,3,3,3,3,3,0,0
wd,POOLED,210240,257,0.122241,215,13,1.0,2.0,192,212,213,214,215,0,0
