station,category,count,pct_of_hours
Gucheng,WSW,1137,6.489726
Gucheng,MISSING,64,0.365297
Huairou,E,1126,6.426941
Huairou,ENE,1022,5.833333
Huairou,ESE,1085,6.192922
Huairou,N,660,3.767123
Huairou,NE,1076,6.141553
Huairou,NNE,889,5.074201
Huairou,NNW,640,3.652968
Huairou,NW,1850,10.559361
Huairou,S,675,3.85274
Huairou,SE,1040,5.936073
Huairou,SSE,734,4.189498
Huairou,SSW,693,3.955479
Huairou,SW,888,5.068493
Huairou,W,1334,7.614155
Huairou,WNW,2979,17.003425
Huairou,WSW,777,4.434932
Huairou,MISSING,52,0.296804
Nongzhanguan,E,1877,10.71347
Nongzhanguan,ENE,1903,10.861872
Nongzhanguan,ESE,1512,8.630137
Nongzhanguan,N,1095,6.25
Nongzhanguan,NE,1390,7.93379
Nongzhanguan,NNE,979,5.5879
Nongzhanguan,NNW,862,4.920091
Nongzhanguan,NW,1121,6.398402
Nongzhanguan,S,827,4.72032
Nongzhanguan,SE,954,5.445205
Nongzhanguan,SSE,780,4.452055
Nongzhanguan,SSW,990,5.650685
Nongzhanguan,SW,1017,5.804795
Nongzhanguan,W,555,3.167808
Nongzhanguan,WNW,714,4.075342
Nongzhanguan,WSW,942,5.376712
Nongzhanguan,MISSING,2,0.011416
Shunyi,E,583,3.327626
Shunyi,ENE,944,5.388128
Shunyi,ESE,685,3.909817
Shunyi,N,1763,10.062785
Shunyi,NE,1784,10.182648
Shunyi,NNE,2135,12.186073
Shunyi,NNW,945,5.393836
Shunyi,NW,1262,7.203196
Shunyi,S,1492,8.515982
Shunyi,SE,1140,6.506849
Shunyi,SSE,1502,8.573059
Shunyi,SSW,948,5.410959
Shunyi,SW,546,3.116438
Shunyi,W,505,2.88242
Shunyi,WNW,853,4.868721
Shunyi,WSW,391,2.231735
Shunyi,MISSING,42,0.239726
Tiantan,E,1877,10.71347
Tiantan,ENE,1903,10.861872
Tiantan,ESE,1512,8.630137
Tiantan,N,1095,6.25
Tiantan,NE,1390,7.93379
Tiantan,NNE,979,5.5879
Tiantan,NNW,862,4.920091
Tiantan,NW,1121,6.398402
Tiantan,S,827,4.72032
Tiantan,SE,954,5.445205
Tiantan,SSE,780,4.452055
Tiantan,SSW,990,5.650685
Tiantan,SW,1017,5.804795
Tiantan,W,555,3.167808
Tiantan,WNW,714,4.075342
Tiantan,WSW,942,5.376712
Tiantan,MISSING,2,0.011416
Wanliu,E,748,4.269406
Wanliu,ENE,1951,11.135845
Wanliu,ESE,347,1.980594
Wanliu,N,1964,11.210046
Wanliu,NE,2991,17.071918
Wanliu,NNE,1472,8.401826
Wanliu,NNW,749,4.275114
Wanliu,NW,492,2.808219
Wanliu,S,534,3.047945
Wanliu,SE,289,1.649543
Wanliu,SSE,346,1.974886
Wanliu,SSW,1114,6.358447
Wanliu,SW,1943,11.090183
Wanliu,W,730,4.166667
Wanliu,WNW,447,2.55137
Wanliu,WSW,1397,7.973744
Wanliu,MISSING,6,0.034247
Wanshouxigong,E,1120,6.392694
Wanshouxigong,ENE,1122,6.40411
Wanshouxigong,ESE,578,3.299087
Wanshouxigong,N,406,2.317352
Wanshouxigong,NE,1418,8.093607
Wanshouxigong,NNE,615,3.510274
Wanshouxigong,NNW,356,2.031963
Wanshouxigong,NW,1207,6.889269
Wanshouxigong,S,786,4.486301
Wanshouxigong,SE,353,2.01484
Wanshouxigong,SSE,412,2.351598
Wanshouxigong,SSW,1494,8.527397
Wanshouxigong,SW,1964,11.210046
Wanshouxigong,W,2035,11.615297
Wanshouxigong,WNW,1932,11.027397
Wanshouxigong,WSW,1719,9.811644
Wanshouxigong,MISSING,3,0.017123
