partition,station,horizon_hours,position,sample_id,context_length,context_start,context_end,forecast_origin,target_timestamp,hourly_contiguous,end_equals_origin,start_equals_origin_minus_47,no_input_after_origin,target_value_returned
train,Huairou,1,middle,train|Huairou|2014030215|h1,48,2014-02-28T15:00:00,2014-03-02T14:00:00,2014-03-02T14:00:00,2014-03-02T15:00:00,true,true,true,true,true
train,Huairou,1,last,train|Huairou|2015022823|h1,48,2015-02-26T23:00:00,2015-02-28T22:00:00,2015-02-28T22:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Huairou,6,first,train|Huairou|2013030305|h6,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T05:00:00,true,true,true,true,true
train,Huairou,6,middle,train|Huairou|2014030217|h6,48,2014-02-28T12:00:00,2014-03-02T11:00:00,2014-03-02T11:00:00,2014-03-02T17:00:00,true,true,true,true,true
train,Huairou,6,last,train|Huairou|2015022823|h6,48,2015-02-26T18:00:00,2015-02-28T17:00:00,2015-02-28T17:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Huairou,12,first,train|Huairou|2013030311|h12,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T11:00:00,true,true,true,true,true
train,Huairou,12,middle,train|Huairou|2014030220|h12,48,2014-02-28T09:00:00,2014-03-02T08:00:00,2014-03-02T08:00:00,2014-03-02T20:00:00,true,true,true,true,true
train,Huairou,12,last,train|Huairou|2015022823|h12,48,2015-02-26T12:00:00,2015-02-28T11:00:00,2015-02-28T11:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Huairou,24,first,train|Huairou|2013030323|h24,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T23:00:00,true,true,true,true,true
train,Huairou,24,middle,train|Huairou|2014030302|h24,48,2014-02-28T03:00:00,2014-03-02T02:00:00,2014-03-02T02:00:00,2014-03-03T02:00:00,true,true,true,true,true
train,Huairou,24,last,train|Huairou|2015022823|h24,48,2015-02-26T00:00:00,2015-02-27T23:00:00,2015-02-27T23:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Wanshouxigong,1,first,train|Wanshouxigong|2013030300|h1,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T00:00:00,true,true,true,true,true
train,Wanshouxigong,1,middle,train|Wanshouxigong|2014030100|h1,48,2014-02-27T00:00:00,2014-02-28T23:00:00,2014-02-28T23:00:00,2014-03-01T00:00:00,true,true,true,true,true
train,Wanshouxigong,1,last,train|Wanshouxigong|2015022823|h1,48,2015-02-26T23:00:00,2015-02-28T22:00:00,2015-02-28T22:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Wanshouxigong,6,first,train|Wanshouxigong|2013030305|h6,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T05:00:00,true,true,true,true,true
train,Wanshouxigong,6,middle,train|Wanshouxigong|2014030103|h6,48,2014-02-26T22:00:00,2014-02-28T21:00:00,2014-02-28T21:00:00,2014-03-01T03:00:00,true,true,true,true,true
train,Wanshouxigong,6,last,train|Wanshouxigong|2015022823|h6,48,2015-02-26T18:00:00,2015-02-28T17:00:00,2015-02-28T17:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Wanshouxigong,12,first,train|Wanshouxigong|2013030311|h12,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T11:00:00,true,true,true,true,true
train,Wanshouxigong,12,middle,train|Wanshouxigong|2014030106|h12,48,2014-02-26T19:00:00,2014-02-28T18:00:00,2014-02-28T18:00:00,2014-03-01T06:00:00,true,true,true,true,true
train,Wanshouxigong,12,last,train|Wanshouxigong|2015022823|h12,48,2015-02-26T12:00:00,2015-02-28T11:00:00,2015-02-28T11:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Wanshouxigong,24,first,train|Wanshouxigong|2013030323|h24,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T23:00:00,true,true,true,true,true
train,Wanshouxigong,24,middle,train|Wanshouxigong|2014030112|h24,48,2014-02-26T13:00:00,2014-02-28T12:00:00,2014-02-28T12:00:00,2014-03-01T12:00:00,true,true,true,true,true
train,Wanshouxigong,24,last,train|Wanshouxigong|2015022823|h24,48,2015-02-26T00:00:00,2015-02-27T23:00:00,2015-02-27T23:00:00,2015-02-28T23:00:00,true,true,true,true,true
validation,Aotizhongxin,1,first,validation|Aotizhongxin|2015030100|h1,48,2015-02-27T00:00:00,2015-02-28T23:00:00,2015-02-28T23:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Aotizhongxin,1,middle,validation|Aotizhongxin|2015090203|h1,48,2015-08-31T03:00:00,2015-09-02T02:00:00,2015-09-02T02:00:00,2015-09-02T03:00:00,true,true,true,true,false
validation,Aotizhongxin,1,last,validation|Aotizhongxin|2016022923|h1,48,2016-02-27T23:00:00,2016-02-29T22:00:00,2016-02-29T22:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Aotizhongxin,6,first,validation|Aotizhongxin|2015030100|h6,48,2015-02-26T19:00:00,2015-02-28T18:00:00,2015-02-28T18:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Aotizhongxin,6,middle,validation|Aotizhongxin|2015090203|h6,48,2015-08-30T22:00:00,2015-09-01T21:00:00,2015-09-01T21:00:00,2015-09-02T03:00:00,true,true,true,true,false
validation,Aotizhongxin,6,last,validation|Aotizhongxin|2016022923|h6,48,2016-02-27T18:00:00,2016-02-29T17:00:00,2016-02-29T17:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Aotizhongxin,12,first,validation|Aotizhongxin|2015030100|h12,48,2015-02-26T13:00:00,2015-02-28T12:00:00,2015-02-28T12:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Aotizhongxin,12,middle,validation|Aotizhongxin|2015090203|h12,48,2015-08-30T16:00:00,2015-09-01T15:00:00,2015-09-01T15:00:00,2015-09-02T03:00:00,true,true,true,true,false
validation,Aotizhongxin,12,last,validation|Aotizhongxin|2016022923|h12,48,2016-02-27T12:00:00,2016-02-29T11:00:00,2016-02-29T11:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Aotizhongxin,24,first,validation|Aotizhongxin|2015030100|h24,48,2015-02-26T01:00:00,2015-02-28T00:00:00,2015-02-28T00:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Aotizhongxin,24,middle,validation|Aotizhongxin|2015090203|h24,48,2015-08-30T04:00:00,2015-09-01T03:00:00,2015-09-01T03:00:00,2015-09-02T03:00:00,true,true,true,true,false
validation,Aotizhongxin,24,last,validation|Aotizhongxin|2016022923|h24,48,2016-02-27T00:00:00,2016-02-28T23:00:00,2016-02-28T23:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Huairou,1,first,validation|Huairou|2015030100|h1,48,2015-02-27T00:00:00,2015-02-28T23:00:00,2015-02-28T23:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Huairou,1,middle,validation|Huairou|2015083013|h1,48,2015-08-28T13:00:00,2015-08-30T12:00:00,2015-08-30T12:00:00,2015-08-30T13:00:00,true,true,true,true,false
validation,Huairou,1,last,validation|Huairou|2016022923|h1,48,2016-02-27T23:00:00,2016-02-29T22:00:00,2016-02-29T22:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Huairou,6,first,validation|Huairou|2015030100|h6,48,2015-02-26T19:00:00,2015-02-28T18:00:00,2015-02-28T18:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Huairou,6,middle,validation|Huairou|2015083013|h6,48,2015-08-28T08:00:00,2015-08-30T07:00:00,2015-08-30T07:00:00,2015-08-30T13:00:00,true,true,true,true,false
validation,Huairou,6,last,validation|Huairou|2016022923|h6,48,2016-02-27T18:00:00,2016-02-29T17:00:00,2016-02-29T17:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Huairou,12,first,validation|Huairou|2015030100|h12,48,2015-02-26T13:00:00,2015-02-28T12:00:00,2015-02-28T12:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Huairou,12,middle,validation|Huairou|2015083013|h12,48,2015-08-28T02:00:00,2015-08-30T01:00:00,2015-08-30T01:00:00,2015-08-30T13:00:00,true,true,true,true,false
validation,Huairou,12,last,validation|Huairou|2016022923|h12,48,2016-02-27T12:00:00,2016-02-29T11:00:00,2016-02-29T11:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Huairou,24,first,validation|Huairou|2015030100|h24,48,2015-02-26T01:00:00,2015-02-28T00:00:00,2015-02-28T00:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Huairou,24,middle,validation|Huairou|2015083013|h24,48,2015-08-27T14:00:00,2015-08-29T13:00:00,2015-08-29T13:00:00,2015-08-30T13:00:00,true,true,true,true,false
validation,Huairou,24,last,validation|Huairou|2016022923|h24,48,2016-02-27T00:00:00,2016-02-28T23:00:00,2016-02-28T23:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Wanshouxigong,1,first,validation|Wanshouxigong|2015030100|h1,48,2015-02-27T00:00:00,2015-02-28T23:00:00,2015-02-28T23:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Wanshouxigong,1,middle,validation|Wanshouxigong|2015083106|h1,48,2015-08-29T06:00:00,2015-08-31T05:00:00,2015-08-31T05:00:00,2015-08-31T06:00:00,true,true,true,true,false
validation,Wanshouxigong,1,last,validation|Wanshouxigong|2016022923|h1,48,2016-02-27T23:00:00,2016-02-29T22:00:00,2016-02-29T22:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Wanshouxigong,6,first,validation|Wanshouxigong|2015030100|h6,48,2015-02-26T19:00:00,2015-02-28T18:00:00,2015-02-28T18:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Wanshouxigong,6,middle,validation|Wanshouxigong|2015083106|h6,48,2015-08-29T01:00:00,2015-08-31T00:00:00,2015-08-31T00:00:00,2015-08-31T06:00:00,true,true,true,true,false
validation,Wanshouxigong,6,last,validation|Wanshouxigong|2016022923|h6,48,2016-02-27T18:00:00,2016-02-29T17:00:00,2016-02-29T17:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Wanshouxigong,12,first,validation|Wanshouxigong|2015030100|h12,48,2015-02-26T13:00:00,2015-02-28T12:00:00,2015-02-28T12:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Wanshouxigong,12,middle,validation|Wanshouxigong|2015083106|h12,48,2015-08-28T19:00:00,2015-08-30T18:00:00,2015-08-30T18:00:00,2015-08-31T06:00:00,true,true,true,true,false
validation,Wanshouxigong,12,last,validation|Wanshouxigong|2016022923|h12,48,2016-02-27T12:00:00,2016-02-29T11:00:00,2016-02-29T11:00:00,2016-02-29T23:00:00,true,true,true,true,false
validation,Wanshouxigong,24,first,validation|Wanshouxigong|2015030100|h24,48,2015-02-26T01:00:00,2015-02-28T00:00:00,2015-02-28T00:00:00,2015-03-01T00:00:00,true,true,true,true,false
validation,Wanshouxigong,24,middle,validation|Wanshouxigong|2015083106|h24,48,2015-08-28T07:00:00,2015-08-30T06:00:00,2015-08-30T06:00:00,2015-08-31T06:00:00,true,true,true,true,false
validation,Wanshouxigong,24,last,validation|Wanshouxigong|2016022923|h24,48,2016-02-27T00:00:00,2016-02-28T23:00:00,2016-02-28T23:00:00,2016-02-29T23:00:00,true,true,true,true,false
test,Aotizhongxin,1,first,test|Aotizhongxin|2016030100|h1,48,2016-02-28T00:00:00,2016-02-29T23:00:00,2016-02-29T23:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Aotizhongxin,1,middle,test|Aotizhongxin|2016090101|h1,48,2016-08-30T01:00:00,2016-09-01T00:00:00,2016-09-01T00:00:00,2016-09-01T01:00:00,true,true,true,true,false
test,Aotizhongxin,1,last,test|Aotizhongxin|2017022823|h1,48,2017-02-26T23:00:00,2017-02-28T22:00:00,2017-02-28T22:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Aotizhongxin,6,first,test|Aotizhongxin|2016030100|h6,48,2016-02-27T19:00:00,2016-02-29T18:00:00,2016-02-29T18:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Aotizhongxin,6,middle,test|Aotizhongxin|2016090101|h6,48,2016-08-29T20:00:00,2016-08-31T19:00:00,2016-08-31T19:00:00,2016-09-01T01:00:00,true,true,true,true,false
test,Aotizhongxin,6,last,test|Aotizhongxin|2017022823|h6,48,2017-02-26T18:00:00,2017-02-28T17:00:00,2017-02-28T17:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Aotizhongxin,12,first,test|Aotizhongxin|2016030100|h12,48,2016-02-27T13:00:00,2016-02-29T12:00:00,2016-02-29T12:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Aotizhongxin,12,middle,test|Aotizhongxin|2016090101|h12,48,2016-08-29T14:00:00,2016-08-31T13:00:00,2016-08-31T13:00:00,2016-09-01T01:00:00,true,true,true,true,false
test,Aotizhongxin,12,last,test|Aotizhongxin|2017022823|h12,48,2017-02-26T12:00:00,2017-02-28T11:00:00,2017-02-28T11:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Aotizhongxin,24,first,test|Aotizhongxin|2016030100|h24,48,2016-02-27T01:00:00,2016-02-29T00:00:00,2016-02-29T00:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Aotizhongxin,24,middle,test|Aotizhongxin|2016090101|h24,48,2016-08-29T02:00:00,2016-08-31T01:00:00,2016-08-31T01:00:00,2016-09-01T01:00:00,true,true,true,true,false
test,Aotizhongxin,24,last,test|Aotizhongxin|2017022823|h24,48,2017-02-26T00:00:00,2017-02-27T23:00:00,2017-02-27T23:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Huairou,1,first,test|Huairou|2016030100|h1,48,2016-02-28T00:00:00,2016-02-29T23:00:00,2016-02-29T23:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Huairou,1,middle,test|Huairou|2016083015|h1,48,2016-08-28T15:00:00,2016-08-30T14:00:00,2016-08-30T14:00:00,2016-08-30T15:00:00,true,true,true,true,false
test,Huairou,1,last,test|Huairou|2017022823|h1,48,2017-02-26T23:00:00,2017-02-28T22:00:00,2017-02-28T22:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Huairou,6,first,test|Huairou|2016030100|h6,48,2016-02-27T19:00:00,2016-02-29T18:00:00,2016-02-29T18:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Huairou,6,middle,test|Huairou|2016083015|h6,48,2016-08-28T10:00:00,2016-08-30T09:00:00,2016-08-30T09:00:00,2016-08-30T15:00:00,true,true,true,true,false
test,Huairou,6,last,test|Huairou|2017022823|h6,48,2017-02-26T18:00:00,2017-02-28T17:00:00,2017-02-28T17:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Huairou,12,first,test|Huairou|2016030100|h12,48,2016-02-27T13:00:00,2016-02-29T12:00:00,2016-02-29T12:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Huairou,12,middle,test|Huairou|2016083015|h12,48,2016-08-28T04:00:00,2016-08-30T03:00:00,2016-08-30T03:00:00,2016-08-30T15:00:00,true,true,true,true,false
test,Huairou,12,last,test|Huairou|2017022823|h12,48,2017-02-26T12:00:00,2017-02-28T11:00:00,2017-02-28T11:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Huairou,24,first,test|Huairou|2016030100|h24,48,2016-02-27T01:00:00,2016-02-29T00:00:00,2016-02-29T00:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Huairou,24,middle,test|Huairou|2016083015|h24,48,2016-08-27T16:00:00,2016-08-29T15:00:00,2016-08-29T15:00:00,2016-08-30T15:00:00,true,true,true,true,false
test,Huairou,24,last,test|Huairou|2017022823|h24,48,2017-02-26T00:00:00,2017-02-27T23:00:00,2017-02-27T23:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Wanshouxigong,1,first,test|Wanshouxigong|2016030100|h1,48,2016-02-28T00:00:00,2016-02-29T23:00:00,2016-02-29T23:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Wanshouxigong,1,middle,test|Wanshouxigong|2016090102|h1,48,2016-08-30T02:00:00,2016-09-01T01:00:00,2016-09-01T01:00:00,2016-09-01T02:00:00,true,true,true,true,false
test,Wanshouxigong,1,last,test|Wanshouxigong|2017022823|h1,48,2017-02-26T23:00:00,2017-02-28T22:00:00,2017-02-28T22:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Wanshouxigong,6,first,test|Wanshouxigong|2016030100|h6,48,2016-02-27T19:00:00,2016-02-29T18:00:00,2016-02-29T18:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Wanshouxigong,6,middle,test|Wanshouxigong|2016090102|h6,48,2016-08-29T21:00:00,2016-08-31T20:00:00,2016-08-31T20:00:00,2016-09-01T02:00:00,true,true,true,true,false
test,Wanshouxigong,6,last,test|Wanshouxigong|2017022823|h6,48,2017-02-26T18:00:00,2017-02-28T17:00:00,2017-02-28T17:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Wanshouxigong,12,first,test|Wanshouxigong|2016030100|h12,48,2016-02-27T13:00:00,2016-02-29T12:00:00,2016-02-29T12:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Wanshouxigong,12,middle,test|Wanshouxigong|2016090102|h12,48,2016-08-29T15:00:00,2016-08-31T14:00:00,2016-08-31T14:00:00,2016-09-01T02:00:00,true,true,true,true,false
test,Wanshouxigong,12,last,test|Wanshouxigong|2017022823|h12,48,2017-02-26T12:00:00,2017-02-28T11:00:00,2017-02-28T11:00:00,2017-02-28T23:00:00,true,true,true,true,false
test,Wanshouxigong,24,first,test|Wanshouxigong|2016030100|h24,48,2016-02-27T01:00:00,2016-02-29T00:00:00,2016-02-29T00:00:00,2016-03-01T00:00:00,true,true,true,true,false
test,Wanshouxigong,24,middle,test|Wanshouxigong|2016090102|h24,48,2016-08-29T03:00:00,2016-08-31T02:00:00,2016-08-31T02:00:00,2016-09-01T02:00:00,true,true,true,true,false
test,Wanshouxigong,24,last,test|Wanshouxigong|2017022823|h24,48,2017-02-26T00:00:00,2017-02-27T23:00:00,2017-02-27T23:00:00,2017-02-28T23:00:00,true,true,true,true,false
