partition,station,variable,raw_observed,short_gap_causal_ffill,training_median_fallback,missing_category_used,max_gap_age_hours
train,Changping,O3,17204,206,110,,64
train,Changping,TEMP,17488,32,0,,
train,Changping,PRES,17488,32,0,,
train,Changping,DEWP,17488,32,0,,
train,Changping,RAIN,17488,32,0,,
train,Changping,WSPM,17488,32,0,,
train,Changping,wd,17483,37,0,0,
validation,Changping,PM2.5,,,,,deferred_to_rolling_target_history
validation,Changping,PM10,8516,107,161,,144
validation,Changping,SO2,8592,112,80,,63
validation,Changping,NO2,8601,103,80,,63
validation,Changping,CO,8601,102,81,,63
validation,Changping,O3,8609,90,85,,63
validation,Changping,TEMP,8783,1,0,,
validation,Changping,PRES,8783,1,0,,
validation,Changping,DEWP,8783,1,0,,
validation,Changping,RAIN,8782,2,0,,
validation,Changping,WSPM,8784,0,0,,
validation,Changping,wd,8747,37,0,0,
test,Changping,PM2.5,,,,,deferred_to_rolling_target_history
test,Changping,PM10,8663,88,9,,15
test,Changping,SO2,8620,100,40,,22
test,Changping,NO2,8638,101,21,,18
test,Changping,CO,8611,137,12,,15
test,Changping,O3,8647,104,9,,15
test,Changping,TEMP,8740,20,0,,
test,Changping,PRES,8743,17,0,,
test,Changping,DEWP,8740,20,0,,
test,Changping,RAIN,8743,17,0,,
test,Changping,WSPM,8749,11,0,,
test,Changping,wd,8694,66,0,0,
train,Dingling,PM2.5,17151,191,178,,43
train,Dingling,PM10,17145,197,178,,43
train,Dingling,SO2,17106,218,196,,44
train,Dingling,NO2,16611,566,343,,168
train,Dingling,CO,15898,380,1242,,168
train,Dingling,O3,16944,312,264,,67
train,Dingling,TEMP,17488,32,0,,
train,Dingling,PRES,17488,32,0,,
train,Dingling,DEWP,17488,32,0,,
train,Dingling,RAIN,17488,32,0,,
train,Dingling,WSPM,17488,32,0,,
train,Dingling,wd,17483,37,0,0,
validation,Dingling,PM2.5,,,,,deferred_to_rolling_target_history
validation,Dingling,PM10,8669,106,9,,15
validation,Dingling,SO2,8667,107,10,,15
validation,Dingling,NO2,8642,131,11,,15
validation,Dingling,CO,8641,120,23,,20
validation,Dingling,O3,8606,168,10,,15
validation,Dingling,TEMP,8783,1,0,,
validation,Dingling,PRES,8783,1,0,,
validation,Dingling,DEWP,8783,1,0,,
validation,Dingling,RAIN,8782,2,0,,
validation,Dingling,WSPM,8784,0,0,,
validation,Dingling,wd,8747,37,0,0,
test,Dingling,PM2.5,,,,,deferred_to_rolling_target_history
test,Dingling,PM10,8594,133,33,,20
test,Dingling,SO2,8561,134,65,,48
test,Dingling,NO2,8577,148,35,,21
test,Dingling,CO,8513,136,111,,92
test,Dingling,O3,8300,165,295,,168
test,Dingling,TEMP,8740,20,0,,
test,Dingling,PRES,8743,17,0,,
test,Dingling,DEWP,8740,20,0,,
test,Dingling,RAIN,8743,17,0,,
test,Dingling,WSPM,8749,11,0,,
test,Dingling,wd,8694,66,0,0,
train,Dongsi,PM2.5,17260,144,116,,43
train,Dongsi,PM10,17349,111,60,,42
train,Dongsi,SO2,17245,187,88,,43
train,Dongsi,NO2,16323,132,1065,,168
train,Dongsi,CO,14740,309,2471,,168
train,Dongsi,O3,17262,190,68,,43
train,Dongsi,TEMP,17518,2,0,,
train,Dongsi,PRES,17518,2,0,,
train,Dongsi,DEWP,17518,2,0,,
train,Dongsi,RAIN,17518,2,0,,
train,Dongsi,WSPM,17518,2,0,,
train,Dongsi,wd,17518,2,0,0,
validation,Dongsi,PM2.5,,,,,deferred_to_rolling_target_history
validation,Dongsi,PM10,8715,69,0,,5
validation,Dongsi,SO2,8712,71,1,,7
validation,Dongsi,NO2,8710,72,2,,8
validation,Dongsi,CO,8715,68,1,,7
validation,Dongsi,O3,8715,68,1,,7
validation,Dongsi,TEMP,8784,0,0,,
validation,Dongsi,PRES,8784,0,0,,
validation,Dongsi,DEWP,8784,0,0,,
validation,Dongsi,RAIN,8784,0,0,,
validation,Dongsi,WSPM,8784,0,0,,
validation,Dongsi,wd,8779,5,0,0,
test,Dongsi,PM2.5,,,,,deferred_to_rolling_target_history
test,Dongsi,PM10,8447,143,170,,57
test,Dongsi,SO2,8444,151,165,,57
test,Dongsi,NO2,8430,165,165,,57
test,Dongsi,CO,8412,180,168,,57
test,Dongsi,O3,8423,172,165,,57
test,Dongsi,TEMP,8742,18,0,,
test,Dongsi,PRES,8742,18,0,,
test,Dongsi,DEWP,8742,18,0,,
test,Dongsi,RAIN,8742,18,0,,
test,Dongsi,WSPM,8748,12,0,,
test,Dongsi,wd,8689,71,0,0,
train,Guanyuan,PM2.5,17198,164,158,,71
train,Guanyuan,PM10,17305,122,93,,44
train,Guanyuan,SO2,17201,163,156,,103
train,Guanyuan,NO2,17038,222,260,,103
train,Guanyuan,CO,16046,470,1004,,168
train,Guanyuan,O3,16515,508,497,,103
train,Guanyuan,TEMP,17518,2,0,,
train,Guanyuan,PRES,17518,2,0,,
train,Guanyuan,DEWP,17518,2,0,,
train,Guanyuan,RAIN,17518,2,0,,
train,Guanyuan,WSPM,17518,2,0,,
train,Guanyuan,wd,17515,5,0,0,
validation,Guanyuan,PM2.5,,,,,deferred_to_rolling_target_history
validation,Guanyuan,PM10,8709,75,0,,5
validation,Guanyuan,SO2,8728,56,0,,5
validation,Guanyuan,NO2,8707,77,0,,6
validation,Guanyuan,CO,8725,59,0,,5
validation,Guanyuan,O3,8726,58,0,,5
validation,Guanyuan,TEMP,8784,0,0,,
validation,Guanyuan,PRES,8784,0,0,,
validation,Guanyuan,DEWP,8784,0,0,,
validation,Guanyuan,RAIN,8784,0,0,,
validation,Guanyuan,WSPM,8784,0,0,,
validation,Guanyuan,wd,8779,5,0,0,
test,Guanyuan,PM2.5,,,,,deferred_to_rolling_target_history
test,Guanyuan,PM10,8621,105,34,,17
test,Guanyuan,SO2,8661,81,18,,15
test,Guanyuan,NO2,8660,82,18,,15
test,Guanyuan,CO,8540,116,104,,92
test,Guanyuan,O3,8650,92,18,,15
test,Guanyuan,TEMP,8742,18,0,,
test,Guanyuan,PRES,8742,18,0,,
test,Guanyuan,DEWP,8742,18,0,,
test,Guanyuan,RAIN,8742,18,0,,
test,Guanyuan,WSPM,8748,12,0,,
test,Guanyuan,wd,8689,71,0,0,
train,Gucheng,PM2.5,17200,191,129,,54
train,Gucheng,PM10,17357,112,51,,25
train,Gucheng,SO2,17220,138,162,,61
train,Gucheng,NO2,17191,171,158,,168
train,Gucheng,CO,16361,383,776,,168
train,Gucheng,O3,17002,176,342,,168
train,Gucheng,TEMP,17486,33,1,,
train,Gucheng,PRES,17487,32,1,,
train,Gucheng,DEWP,17486,33,1,,
train,Gucheng,RAIN,17494,26,0,,
train,Gucheng,WSPM,17489,31,0,,
train,Gucheng,wd,17456,63,1,1,
validation,Gucheng,PM2.5,,,,,deferred_to_rolling_target_history
validation,Gucheng,PM10,8669,96,19,,18
validation,Gucheng,SO2,8670,94,20,,18
validation,Gucheng,NO2,8585,122,77,,59
validation,Gucheng,CO,8667,97,20,,18
validation,Gucheng,O3,8669,95,20,,18
validation,Gucheng,TEMP,8784,0,0,,
validation,Gucheng,PRES,8784,0,0,,
validation,Gucheng,DEWP,8784,0,0,,
validation,Gucheng,RAIN,8784,0,0,,
validation,Gucheng,WSPM,8784,0,0,,
validation,Gucheng,wd,8729,55,0,0,
test,Gucheng,PM2.5,,,,,deferred_to_rolling_target_history
test,Gucheng,PM10,8657,94,9,,15
test,Gucheng,SO2,8667,84,9,,15
test,Gucheng,NO2,8620,109,31,,25
test,Gucheng,CO,8635,116,9,,15
test,Gucheng,O3,8664,87,9,,15
test,Gucheng,TEMP,8743,17,0,,
test,Gucheng,PRES,8743,17,0,,
test,Gucheng,DEWP,8743,17,0,,
test,Gucheng,RAIN,8743,17,0,,
test,Gucheng,WSPM,8749,11,0,,
test,Gucheng,wd,8720,40,0,0,
train,Huairou,PM2.5,16882,216,422,,168
train,Huairou,PM10,16953,176,391,,168
train,Huairou,SO2,16851,262,407,,168
train,Huairou,NO2,16400,617,503,,168
train,Huairou,CO,16446,552,522,,168
train,Huairou,O3,16773,370,377,,168
train,Huairou,TEMP,17487,33,0,,
train,Huairou,PRES,17485,35,0,,
train,Huairou,DEWP,17485,35,0,,
train,Huairou,RAIN,17484,36,0,,
train,Huairou,WSPM,17483,37,0,,
train,Huairou,wd,17468,45,7,7,
validation,Huairou,PM2.5,,,,,deferred_to_rolling_target_history
validation,Huairou,PM10,8705,79,0,,5
validation,Huairou,SO2,8615,147,22,,25
validation,Huairou,NO2,8609,175,0,,5
validation,Huairou,CO,8652,132,0,,5
validation,Huairou,O3,8552,145,87,,92
validation,Huairou,TEMP,8784,0,0,,
validation,Huairou,PRES,8784,0,0,,
validation,Huairou,DEWP,8784,0,0,,
validation,Huairou,RAIN,8784,0,0,,
validation,Huairou,WSPM,8784,0,0,,
validation,Huairou,wd,8694,90,0,0,
test,Huairou,PM2.5,,,,,deferred_to_rolling_target_history
test,Huairou,PM10,8629,93,38,,21
test,Huairou,SO2,8618,104,38,,21
test,Huairou,NO2,8416,275,69,,30
test,Huairou,CO,8544,133,83,,40
test,Huairou,O3,8588,134,38,,21
test,Huairou,TEMP,8742,18,0,,
test,Huairou,PRES,8742,18,0,,
test,Huairou,DEWP,8742,18,0,,
test,Huairou,RAIN,8741,19,0,,
test,Huairou,WSPM,8748,12,0,,
test,Huairou,wd,8600,160,0,0,
train,Nongzhanguan,PM2.5,17281,202,37,,19
train,Nongzhanguan,PM10,17328,161,31,,19
train,Nongzhanguan,SO2,17322,156,42,,20
train,Nongzhanguan,NO2,17145,241,134,,55
train,Nongzhanguan,CO,16708,414,398,,147
train,Nongzhanguan,O3,17274,216,30,,19
train,Nongzhanguan,TEMP,17518,2,0,,
train,Nongzhanguan,PRES,17518,2,0,,
train,Nongzhanguan,DEWP,17518,2,0,,
train,Nongzhanguan,RAIN,17518,2,0,,
train,Nongzhanguan,WSPM,17518,2,0,,
train,Nongzhanguan,wd,17518,2,0,0,
validation,Nongzhanguan,PM2.5,,,,,deferred_to_rolling_target_history
validation,Nongzhanguan,PM10,8646,71,67,,55
validation,Nongzhanguan,SO2,8644,72,68,,55
validation,Nongzhanguan,NO2,8640,76,68,,55
validation,Nongzhanguan,CO,8628,89,67,,55
validation,Nongzhanguan,O3,8641,76,67,,55
validation,Nongzhanguan,TEMP,8784,0,0,,
validation,Nongzhanguan,PRES,8784,0,0,,
validation,Nongzhanguan,DEWP,8784,0,0,,
validation,Nongzhanguan,RAIN,8784,0,0,,
validation,Nongzhanguan,WSPM,8784,0,0,,
validation,Nongzhanguan,wd,8779,5,0,0,
test,Nongzhanguan,PM2.5,,,,,deferred_to_rolling_target_history
test,Nongzhanguan,PM10,8650,99,11,,15
test,Nongzhanguan,SO2,8652,97,11,,15
test,Nongzhanguan,NO2,8587,136,37,,31
test,Nongzhanguan,CO,8522,141,97,,92
test,Nongzhanguan,O3,8643,106,11,,15
test,Nongzhanguan,TEMP,8742,18,0,,
test,Nongzhanguan,PRES,8742,18,0,,
test,Nongzhanguan,DEWP,8742,18,0,,
test,Nongzhanguan,RAIN,8742,18,0,,
test,Nongzhanguan,WSPM,8748,12,0,,
test,Nongzhanguan,wd,8689,71,0,0,
train,Shunyi,PM2.5,17049,161,310,,168
train,Shunyi,PM10,17340,144,36,,21
train,Shunyi,SO2,16858,293,369,,95
train,Shunyi,NO2,16788,265,467,,168
train,Shunyi,CO,16078,555,887,,168
train,Shunyi,O3,17166,325,29,,13
train,Shunyi,TEMP,17488,32,0,,
train,Shunyi,PRES,17488,32,0,,
train,Shunyi,DEWP,17485,35,0,,
train,Shunyi,RAIN,17488,32,0,,
train,Shunyi,WSPM,17488,32,0,,
train,Shunyi,wd,17478,42,0,0,
validation,Shunyi,PM2.5,,,,,deferred_to_rolling_target_history
validation,Shunyi,PM10,8687,97,0,,5
validation,Shunyi,SO2,8575,185,24,,17
validation,Shunyi,NO2,8587,192,5,,11
validation,Shunyi,CO,8472,266,46,,33
validation,Shunyi,O3,8561,188,35,,23
validation,Shunyi,TEMP,8783,1,0,,
validation,Shunyi,PRES,8783,1,0,,
validation,Shunyi,DEWP,8783,1,0,,
validation,Shunyi,RAIN,8783,1,0,,
validation,Shunyi,WSPM,8783,1,0,,
validation,Shunyi,wd,8627,157,0,0,
test,Shunyi,PM2.5,,,,,deferred_to_rolling_target_history
test,Shunyi,PM10,8489,183,88,,38
test,Shunyi,SO2,8335,269,156,,47
test,Shunyi,NO2,8324,267,169,,58
test,Shunyi,CO,8336,295,129,,47
test,Shunyi,O3,7848,297,615,,168
test,Shunyi,TEMP,8742,18,0,,
test,Shunyi,PRES,8742,18,0,,
test,Shunyi,DEWP,8742,18,0,,
test,Shunyi,RAIN,8742,18,0,,
test,Shunyi,WSPM,8749,11,0,,
test,Shunyi,wd,8476,284,0,0,
train,Tiantan,PM2.5,17134,330,56,,24
train,Tiantan,PM10,17151,313,56,,24
train,Tiantan,SO2,16630,293,597,,168
train,Tiantan,NO2,17016,368,136,,93
train,Tiantan,CO,16648,563,309,,93
train,Tiantan,O3,16922,407,191,,93
train,Tiantan,TEMP,17518,2,0,,
train,Tiantan,PRES,17518,2,0,,
train,Tiantan,DEWP,17518,2,0,,
train,Tiantan,RAIN,17518,2,0,,
train,Tiantan,WSPM,17518,2,0,,
train,Tiantan,wd,17518,2,0,0,
validation,Tiantan,PM2.5,,,,,deferred_to_rolling_target_history
validation,Tiantan,PM10,8675,105,4,,10
validation,Tiantan,SO2,8658,112,14,,16
validation,Tiantan,NO2,8650,111,23,,25
validation,Tiantan,CO,8653,108,23,,24
validation,Tiantan,O3,8656,124,4,,10
validation,Tiantan,TEMP,8784,0,0,,
validation,Tiantan,PRES,8784,0,0,,
validation,Tiantan,DEWP,8784,0,0,,
validation,Tiantan,RAIN,8784,0,0,,
validation,Tiantan,WSPM,8784,0,0,,
validation,Tiantan,wd,8779,5,0,0,
test,Tiantan,PM2.5,,,,,deferred_to_rolling_target_history
test,Tiantan,PM10,8641,109,10,,15
test,Tiantan,SO2,8658,92,10,,15
test,Tiantan,NO2,8654,96,10,,15
test,Tiantan,CO,8637,109,14,,15
test,Tiantan,O3,8643,107,10,,15
test,Tiantan,TEMP,8742,18,0,,
test,Tiantan,PRES,8742,18,0,,
test,Tiantan,DEWP,8742,18,0,,
test,Tiantan,RAIN,8742,18,0,,
test,Tiantan,WSPM,8748,12,0,,
test,Tiantan,wd,8689,71,0,0,
train,Wanliu,PM2.5,17399,107,14,,13
train,Wanliu,PM10,17428,78,14,,13
train,Wanliu,SO2,17202,278,40,,24
train,Wanliu,NO2,17244,242,34,,24
train,Wanliu,CO,15941,330,1249,,168
train,Wanliu,O3,15923,789,808,,168
train,Wanliu,TEMP,17518,2,0,,
train,Wanliu,PRES,17518,2,0,,
train,Wanliu,DEWP,17518,2,0,,
train,Wanliu,RAIN,17518,2,0,,
train,Wanliu,WSPM,17518,2,0,,
train,Wanliu,wd,17514,6,0,0,
validation,Wanliu,PM2.5,,,,,deferred_to_rolling_target_history
validation,Wanliu,PM10,8685,76,23,,23
validation,Wanliu,SO2,8624,115,45,,25
validation,Wanliu,NO2,8124,93,567,,168
validation,Wanliu,CO,8669,82,33,,32
validation,Wanliu,O3,8502,249,33,,32
validation,Wanliu,TEMP,8784,0,0,,
validation,Wanliu,PRES,8784,0,0,,
validation,Wanliu,DEWP,8784,0,0,,
validation,Wanliu,RAIN,8784,0,0,,
validation,Wanliu,WSPM,8784,0,0,,
validation,Wanliu,wd,8772,12,0,0,
test,Wanliu,PM2.5,,,,,deferred_to_rolling_target_history
test,Wanliu,PM10,8667,84,9,,15
test,Wanliu,SO2,8663,88,9,,15
test,Wanliu,NO2,8626,106,28,,25
test,Wanliu,CO,8642,107,11,,15
test,Wanliu,O3,8532,219,9,,15
test,Wanliu,TEMP,8742,18,0,,
test,Wanliu,PRES,8742,18,0,,
test,Wanliu,DEWP,8742,18,0,,
test,Wanliu,RAIN,8742,18,0,,
test,Wanliu,WSPM,8748,12,0,,
test,Wanliu,wd,8655,105,0,0,
train,Wanshouxigong,PM2.5,17263,161,96,,26
train,Wanshouxigong,PM10,17341,108,71,,26
train,Wanshouxigong,SO2,17136,131,253,,93
train,Wanshouxigong,NO2,17083,187,250,,93
train,Wanshouxigong,CO,16590,478,452,,93
train,Wanshouxigong,O3,16728,415,377,,93
train,Wanshouxigong,TEMP,17519,1,0,,
train,Wanshouxigong,PRES,17519,1,0,,
train,Wanshouxigong,DEWP,17519,1,0,,
train,Wanshouxigong,RAIN,17519,1,0,,
train,Wanshouxigong,WSPM,17519,1,0,,
train,Wanshouxigong,wd,17517,3,0,0,
validation,Wanshouxigong,PM2.5,,,,,deferred_to_rolling_target_history
validation,Wanshouxigong,PM10,8657,103,24,,17
validation,Wanshouxigong,SO2,8672,90,22,,17
validation,Wanshouxigong,NO2,8646,102,36,,20
validation,Wanshouxigong,CO,8654,106,24,,17
validation,Wanshouxigong,O3,8675,87,22,,17
validation,Wanshouxigong,TEMP,8784,0,0,,
validation,Wanshouxigong,PRES,8784,0,0,,
validation,Wanshouxigong,DEWP,8784,0,0,,
validation,Wanshouxigong,RAIN,8784,0,0,,
validation,Wanshouxigong,WSPM,8784,0,0,,
validation,Wanshouxigong,wd,8779,5,0,0,
test,Wanshouxigong,PM2.5,,,,,deferred_to_rolling_target_history
test,Wanshouxigong,PM10,8582,106,72,,43
test,Wanshouxigong,SO2,8587,100,73,,44
test,Wanshouxigong,NO2,8581,106,73,,44
test,Wanshouxigong,CO,8523,134,103,,44
test,Wanshouxigong,O3,8583,104,73,,44
test,Wanshouxigong,TEMP,8742,18,0,,
test,Wanshouxigong,PRES,8742,18,0,,
test,Wanshouxigong,DEWP,8742,18,0,,
test,Wanshouxigong,RAIN,8742,18,0,,
test,Wanshouxigong,WSPM,8748,12,0,,
test,Wanshouxigong,wd,8689,71,0,0,
