partition,station,horizon_hours,candidate_targets,excluded_insufficient_history,excluded_target_missing,eligible_samples
test,Dongsi,6,8760,0,379,8381
test,Dongsi,12,8760,0,379,8381
test,Dongsi,24,8760,0,379,8381
test,Guanyuan,1,8760,0,190,8570
test,Guanyuan,6,8760,0,190,8570
test,Guanyuan,12,8760,0,190,8570
test,Guanyuan,24,8760,0,190,8570
test,Gucheng,1,8760,0,155,8605
test,Gucheng,6,8760,0,155,8605
test,Gucheng,12,8760,0,155,8605
test,Gucheng,24,8760,0,155,8605
test,Huairou,1,8760,0,138,8622
test,Huairou,6,8760,0,138,8622
test,Huairou,12,8760,0,138,8622
test,Huairou,24,8760,0,138,8622
test,Nongzhanguan,1,8760,0,142,8618
test,Nongzhanguan,6,8760,0,142,8618
test,Nongzhanguan,12,8760,0,142,8618
test,Nongzhanguan,24,8760,0,142,8618
test,Shunyi,1,8760,0,326,8434
test,Shunyi,6,8760,0,326,8434
test,Shunyi,12,8760,0,326,8434
test,Shunyi,24,8760,0,326,8434
test,Tiantan,1,8760,0,138,8622
test,Tiantan,6,8760,0,138,8622
test,Tiantan,12,8760,0,138,8622
test,Tiantan,24,8760,0,138,8622
test,Wanliu,1,8760,0,111,8649
test,Wanliu,6,8760,0,111,8649
test,Wanliu,12,8760,0,111,8649
test,Wanliu,24,8760,0,111,8649
test,Wanshouxigong,1,8760,0,212,8548
test,Wanshouxigong,6,8760,0,212,8548
test,Wanshouxigong,12,8760,0,212,8548
test,Wanshouxigong,24,8760,0,212,8548
